mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
C. S. Seshadri,['mathematician'],['India'],NULL,NULL,"['University of Mumbai', 'University of Madras', 'Tata Institute of Fundamental Research']",['Harvard University'],NULL,"['Royal Society', 'American Mathematical Society', 'National Academy of Sciences', 'Indian Academy of Sciences']",['Harvard University'],['K. S. Chandrasekharan'],NULL,NULL,NULL,NULL,NULL,NULL,"['Fellow of the Royal Society', 'H K Firodia awards', '2008', 'Shanti Swarup Bhatnagar Prize for Science and Technology', '1972', 'Padma Bhushan in science & engineering', 'Srinivasa Ramanujan Medal', '1985']",['3±0'],['human'],['male'],FALSE,29,February,1932,FALSE,NULL,NULL,NULL,
George F. Pinder,"['civil engineer', 'engineer']",['United States of America'],NULL,NULL,NULL,NULL,NULL,['National Academy of Engineering'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Roman Holowinsky,['mathematician'],['United States of America'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Henryk Iwaniec'],NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,26,July,1979,FALSE,NULL,NULL,NULL,
Johannes Hudde,"['mathematician', 'politician']",['Dutch Republic'],Amsterdam,15 April 1704,['Leiden University'],NULL,['Amsterdam'],NULL,NULL,['Frans van Schooten'],['Latin'],NULL,NULL,NULL,['Mayor of Amsterdam'],['mathematics'],NULL,NULL,['human'],['male'],FALSE,23,April,1628,FALSE,15,April,1704,
Morris Kline,"['mathematician', 'historian of mathematics']",['United States of America'],Brooklyn,10-Jun-92,['New York University'],['New York University'],['Brooklyn'],NULL,['New York University'],NULL,['English'],NULL,NULL,NULL,NULL,['mathematics'],['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,1,May,1908,FALSE,10,June,1992,
Thomas Wolff,"['mathematician', 'university teacher']",['United States of America'],New York City,31-Jul-00,"['Harvard University', 'University of California, Berkeley']","['New York University', 'University of California, Berkeley', 'University of Washington', 'University of Chicago']",NULL,NULL,"['New York University', 'University of California, Berkeley', 'University of Washington', 'University of Chicago']",NULL,NULL,NULL,NULL,NULL,NULL,['mathematical analysis'],"['Salem Prize', '1985']",['2±0'],['human'],['male'],FALSE,14,July,1954,FALSE,31,July,2000,
Joseph Lipman,"['mathematician', 'university teacher']",['Canada'],Toronto,NULL,['Harvard University'],NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,15,June,1938,FALSE,NULL,NULL,NULL,
John Fox (statistician),"['statistician', 'author']",NULL,NULL,NULL,"['University College London', 'Imperial College London']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,April,1946,FALSE,NULL,NULL,NULL,
Martin Bridson,"['mathematician', 'university teacher']",['United Kingdom'],Douglas,NULL,['Hertford College'],['Magdalen College'],NULL,"['Royal Society', '2016', 'American Mathematical Society']",['Magdalen College'],['Karen Vogtmann'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,NULL,NULL,1964,FALSE,NULL,NULL,NULL,
Matthew Stewart (mathematician),['mathematician'],NULL,NULL,1785,"['University of Edinburgh', 'University of Glasgow']",NULL,NULL,"['Royal Society', 'Royal Society of Edinburgh']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,NULL,1717,FALSE,NULL,NULL,1785,
Uriel Frisch,"['mathematician', 'physicist']",['France'],Agen,NULL,"['University of Paris', 'École Normale Supérieure']",NULL,NULL,['French Academy of Sciences'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,10,December,1940,FALSE,NULL,NULL,NULL,
Gábor Korchmáros,['mathematician'],['Hungary'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Euler Medal', '2008']",NULL,['human'],['male'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
Dionigi Galletto,['mathematician'],"['Italy', 'Kingdom of Italy']","Monasterolo di Savigliano, Kingdom of Italy",25-Sep-11,['University of Padua'],NULL,"['Turin', 'Italy']","['Lincean Academy', 'Serbian Academy of Sciences and Arts', '2 November 2006', '25 September 2011', 'foreign member']",NULL,NULL,['Italian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,January,1932,FALSE,25,September,2011,
Quirico Filopanti,['mathematician'],['Kingdom of Italy'],Budrio,18 December 1894,NULL,NULL,['Bologna'],NULL,NULL,NULL,['Italian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,20,April,1812,FALSE,18,December,1894,
Jeffery J. Leader,[''],NULL,NULL,NULL,"['Syracuse University', 'Brown University']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Thomas Rudd,"['mathematician', 'occultist', 'stage magician']",NULL,NULL,1656,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1583,FALSE,NULL,NULL,1656,
Elon Lindenstrauss,"['mathematician', 'educator', 'university teacher']",['Israel'],"Jerusalem, Israel",NULL,['Hebrew University of Jerusalem'],['Princeton University'],NULL,['Israel Academy of Sciences and Humanities'],['Princeton University'],['Benjamin Weiss'],NULL,NULL,NULL,NULL,NULL,NULL,"['Fields Medal', '2010', 'Blumenthal Award', '2001', 'Fermat Prize', '2009', 'Salem Prize', '2003']",['3±0'],['human'],['male'],FALSE,1,August,1970,FALSE,NULL,NULL,NULL,
Yitang Zhang,['mathematician'],"['United States of America', ""People's Republic of China"", '1955']",Pinghu,NULL,"['Peking University', 'Purdue University']",['University of New Hampshire'],NULL,NULL,['University of New Hampshire'],['Tzuong-Tsieng Moh'],NULL,NULL,NULL,NULL,NULL,['number theory'],"['Cole Prize in Number Theory', 'Ostrowski Prize', '2013', 'Rolf Schock Prize in Mathematics', '2014', 'MacArthur Fellowship']",NULL,['human'],['male'],FALSE,NULL,NULL,1955,FALSE,NULL,NULL,NULL,
Idris Assani,[''],"['United States of America', 'Benin']",NULL,NULL,NULL,['University of North Carolina at Chapel Hill'],NULL,['American Mathematical Society'],['University of North Carolina at Chapel Hill'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Peter Redford Scott Lang,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
James Stirling (mathematician),['mathematician'],['United Kingdom'],Stirling,5 December 1770,"['Balliol College', 'University of Glasgow']",NULL,['Edinburgh'],"['Royal Society', 'Prussian Academy of Sciences']",NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,['combinatorics'],['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,May,1692,FALSE,5,December,1770,
Étienne Pardoux,['mathematician'],['France'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1948,FALSE,NULL,NULL,NULL,
Anadi Sankar Gupta,['mathematician'],['India'],Barisal,14-Jun-12,"['University of Calcutta', 'Indian Institute of Technology Kharagpur', 'Presidency University, Kolkata']",NULL,['Kolkata'],"['Indian National Science Academy', 'The National Academy of Sciences, India']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1972']",NULL,['human'],['male'],FALSE,1,November,1932,FALSE,14,June,2012,
Patrick Brosnan,['mathematician'],['United States of America'],Philadelphia,NULL,['University of Chicago'],NULL,NULL,NULL,NULL,['Spencer Bloch'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1968,FALSE,NULL,NULL,NULL,
Edward Vermilye Huntington,"['mathematician', 'physicist', 'university teacher']",['United States of America'],Clinton,25-Nov-52,['Harvard University'],['Harvard University'],['Cambridge'],['American Academy of Arts and Sciences'],['Harvard University'],NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,April,1874,FALSE,25,November,1952,
David Christiani,"['mathematician', 'philosopher', 'theologian', 'university teacher']",['Germany'],Gryfice,13 February 1688,NULL,"['University of Marburg', 'University of Giessen']",NULL,NULL,"['University of Marburg', 'University of Giessen']",NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,December,1610,FALSE,13,February,1688,
Yvette Kosmann-Schwarzbach,['mathematician'],['France'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['André Lichnerowicz'],['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,1941,FALSE,NULL,NULL,NULL,
Benedikt Löwe,['philosopher'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Ronald Jensen'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1972,FALSE,NULL,NULL,NULL,
N. M. J. Woodhouse,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Giovanni Carandino,['mathematician'],"['France', 'Greece']",NULL,8 June 1834,['École Polytechnique'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1784,FALSE,8,June,1834,
Nataša Pavlović,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Heinrich Wilhelm Brandes,"['mathematician', 'physicist', 'astronomer', 'meteorologist', 'university teacher']",['Germany'],Groden,17 May 1834,['University of Göttingen'],['University of Wrocław'],['Leipzig'],"['Russian Academy of Sciences', 'Russian Academy of Sciences']",['University of Wrocław'],"['Abraham Gotthelf Kästner', 'first doctoral advisor', 'Georg Christoph Lichtenberg', 'second doctoral advisor']",['German'],NULL,NULL,NULL,NULL,['physics'],NULL,NULL,['human'],['male'],FALSE,27,July,1777,FALSE,17,May,1834,
Kim Thomas,['rower'],['United Kingdom'],London Borough of Wandsworth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,10,October,1967,FALSE,NULL,NULL,NULL,
Johann Friedrich Weidler,"['astronomer', 'mathematician', 'writer', 'university teacher']",['Germany'],Großneuhausen,30 November 1755,NULL,NULL,['Lutherstadt Wittenberg'],"['Royal Society', 'Prussian Academy of Sciences']",NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,April,1691,FALSE,30,November,1755,
Abu al-Wafa' Buzjani,"['mathematician', 'astronomer', 'scientist', 'astrologer']","['Samanid dynasty', 'Buyid dynasty']","Buzhgan, Greater Khorasan, Samanid dynasty",998,NULL,NULL,"['Baghdad', 'Buyid dynasty']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['mathematics', 'astronomy', 'trigonometry', 'arithmetic']",NULL,NULL,['human'],['male'],FALSE,10,June,940,FALSE,NULL,NULL,998,
François Jacquier,"['mathematician', 'physicist', 'university teacher']",['France'],Vitry-le-François,8 July 1788,NULL,NULL,['Rome'],"['Royal Society', 'Prussian Academy of Sciences']",NULL,NULL,"['Latin', 'Ancient Greek', 'French', 'Italian']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,7,June,1711,FALSE,8,July,1788,
Marc Rieffel,"['mathematician', 'university teacher']",['United States of America'],New York City,NULL,['Columbia University'],"['University of California, Berkeley']",NULL,['American Mathematical Society'],"['University of California, Berkeley']",['Richard Kadison'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,20,December,1937,FALSE,NULL,NULL,NULL,
Thomas John I'Anson Bromwich,"['mathematician', 'physicist']",['United Kingdom'],Wolverhampton,26-Aug-29,"['University of Cambridge', ""St John's College""]",NULL,['Northampton'],['Royal Society'],NULL,NULL,NULL,NULL,NULL,['suicide'],NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,8,February,1875,FALSE,26,August,1929,
Henri Darmon,"['mathematician', 'university teacher']",['Canada'],Paris,NULL,"['McGill University', 'Harvard University']","['Princeton University', 'McGill University']",NULL,['Royal Society of Canada'],"['Princeton University', 'McGill University']",['Benedict Gross'],NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,['2±0'],['human'],['male'],FALSE,22,October,1965,FALSE,NULL,NULL,NULL,
Adriaan van Roomen,"['mathematician', 'professor']",['Belgium'],Leuven,4 May 1615,NULL,NULL,['Mainz'],NULL,NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,29,September,1561,FALSE,4,May,1615,
Lancelot Hogben,"['mathematician', 'geneticist', 'statistician']",['United Kingdom'],Portsmouth,22-Aug-75,['Trinity College'],"['London School of Economics', 'University of Cape Town']",['Wrexham'],['Royal Society'],"['London School of Economics', 'University of Cape Town']",NULL,['English'],NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,9,December,1895,FALSE,22,August,1975,
Oscar Goldman (mathematician),['mathematician'],['United States of America'],NULL,12/17/1986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1925,FALSE,17,December,1986,
Avinash Kak,"['computer scientist', 'engineer', 'university teacher', 'artificial intelligence researcher']","['United States of America', 'India']",Srinagar,NULL,['Indian Institute of Technology Delhi'],['Purdue University'],NULL,NULL,['Purdue University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1944,FALSE,NULL,NULL,NULL,
Mike Worboys,"['mathematician', 'computer scientist']",['United Kingdom'],NULL,NULL,"['University of Bristol', 'University of Birmingham', 'University of Reading']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,April,1947,FALSE,NULL,NULL,NULL,
Chen Jingrun,['mathematician'],"[""People's Republic of China""]",Fuzhou,19-Mar-96,NULL,NULL,NULL,['Chinese Academy of Sciences'],NULL,['Hua Luogeng'],NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,22,May,1933,FALSE,19,March,1996,
Christopher Wursteisen,['astronomer'],NULL,NULL,NULL,['University of Padua'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Charles Jasper Joly,['mathematician'],['United Kingdom of Great Britain and Ireland'],NULL,1/4/1906,NULL,NULL,NULL,['Royal Society'],NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,27,June,1864,FALSE,4,January,1906,
Herbert Enderton,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],NULL,20-Oct-10,['Harvard University'],"['University of California, Los Angeles', 'University of California, Berkeley']",['Santa Monica'],NULL,"['University of California, Los Angeles', 'University of California, Berkeley']",NULL,NULL,NULL,NULL,NULL,NULL,"['mathematical logic', 'set theory']",NULL,NULL,['human'],['male'],FALSE,15,April,1936,FALSE,20,October,2010,
Norman Macleod Ferrers,['mathematician'],['United Kingdom'],NULL,1/31/1903,['Eton College'],NULL,['Cambridge'],['Royal Society'],NULL,NULL,['English'],NULL,NULL,NULL,NULL,['combinatorics'],['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,11,August,1829,FALSE,31,January,1903,
Ferdinand Augustin Hallerstein,"['mathematician', 'astronomer', 'demographer', 'monk']",['Habsburg Empire'],Ljubljana,29 October 1774,NULL,NULL,['Beijing'],"['Russian Academy of Sciences', 'French Academy of Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,18,August,1703,FALSE,29,October,1774,
Katia Sycara,"['roboticist', 'mathematician', 'engineer', 'computer scientist', 'artificial intelligence researcher']",['Greece'],NULL,NULL,"['University of Wisconsin–Madison', 'Brown University', 'University of Wisconsin–Milwaukee', 'Georgia Institute of Technology']",NULL,NULL,['Association for the Advancement of Artificial Intelligence'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Semantic Web', 'artificial intelligence']",NULL,['3±0'],['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Jan Arnoldus Schouten,['mathematician'],['Kingdom of the Netherlands'],Amsterdam,20-Jan-71,['Delft University of Technology'],NULL,['Epe'],"['Royal Netherlands Academy of Arts and Sciences', 'Heidelberg Academy for Sciences and Humanities', '1949', 'corresponding member']",NULL,NULL,NULL,NULL,NULL,NULL,"['Q20859509', '1938', '1939']",['differential geometry'],NULL,['3±0'],['human'],['male'],FALSE,28,August,1883,FALSE,20,January,1971,
J. Barkley Rosser,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],Jacksonville,5-Sep-89,['Princeton University'],"['Harvard University', 'University of Wisconsin–Madison']",['Madison'],['American Academy of Arts and Sciences'],"['Harvard University', 'University of Wisconsin–Madison']",['Alonzo Church'],NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,6,December,1907,FALSE,5,September,1989,
E. F. Schumacher,"['economist', 'philosopher', 'statistician']","['United Kingdom', 'Germany']",Bonn,4-Sep-77,"['Columbia University', 'University of Bonn', 'New College']",NULL,['Switzerland'],NULL,NULL,NULL,['English'],NULL,NULL,['natural causes'],NULL,NULL,"[""Prix Européen de l'Essai Charles Veillon"", '1976']",NULL,['human'],['male'],FALSE,16,August,1911,FALSE,4,September,1977,
Franco Brezzi,['mathematician'],['Italy'],Vimercate,NULL,NULL,NULL,NULL,['Lincean Academy'],NULL,['Enrico Magenes'],NULL,NULL,['Alfio Quarteroni'],NULL,NULL,['numerical analysis'],NULL,NULL,['human'],['male'],FALSE,29,April,1945,FALSE,NULL,NULL,NULL,
Jack Edmonds,"['mathematician', 'computer scientist']",['Canada'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['combinatorics'],"['John von Neumann Theory Prize', '1985']",['2±0'],['human'],['male'],FALSE,5,April,1934,FALSE,NULL,NULL,NULL,
James R. Jackson,['mathematician'],['United States of America'],Denver,20-Mar-11,"['University of California, Los Angeles', '1946', 'Bachelor of Arts', 'University of California, Los Angeles', '1950', 'Master of Arts', 'University of California, Los Angeles', '1952', 'Doctor of Philosophy']","['UCLA Anderson School of Management', 'University of California, Los Angeles']",['Tehachapi'],NULL,"['UCLA Anderson School of Management', 'University of California, Los Angeles']",NULL,NULL,NULL,NULL,NULL,NULL,['queueing theory'],NULL,NULL,['human'],['male'],FALSE,16,May,1924,FALSE,20,March,2011,
Alex F. T. W. Rosenberg,['mathematician'],NULL,Berlin,2007,"['University of Toronto', 'University of Chicago']",NULL,['Schwerte'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1926,FALSE,NULL,NULL,2007,
Michael Healy (statistician),['statistician'],['United Kingdom'],Paignton,7/17/2016,['Trinity College'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,November,1923,FALSE,17,July,2016,
Joseph J. Kohn,"['mathematician', 'educator']",['United States of America'],Prague,NULL,['Princeton University'],"['Princeton University', 'Harvard University']",NULL,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']","['Princeton University', 'Harvard University']",['Donald C. Spencer'],NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],['3±0'],['human'],['male'],FALSE,18,May,1932,FALSE,NULL,NULL,NULL,
Kokichi Sugihara,[''],['Japan'],Gifu Prefecture,NULL,['University of Tokyo'],"['University of Tokyo', 'Nagoya University', 'Meiji University']",NULL,NULL,"['University of Tokyo', 'Nagoya University', 'Meiji University']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1948,FALSE,NULL,NULL,NULL,
Ted Harris (mathematician),['mathematician'],['United States of America'],NULL,11/3/2005,NULL,NULL,NULL,['National Academy of Sciences'],NULL,['Samuel S. Wilks'],NULL,NULL,NULL,NULL,NULL,['probability theory'],NULL,NULL,['human'],['male'],FALSE,11,January,1919,FALSE,3,November,2005,
Yajnavalkya,"['astronomer', 'philosopher']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
